LSOA11CD,LSOA11NM,crime_sum
E01000620,Brent 020B,70
E01000621,Brent 020C,111
E01000622,Brent 010D,89
E01000623,Brent 005C,104
E01000624,Brent 005D,76
E01000625,Brent 009E,103
E01000626,Brent 010E,156
E01000627,Brent 014E,294
E01000628,Brent 014F,244
E01000629,Brent 005E,84
E01000630,Brent 026E,410
E01000631,Brent 019C,179
E01000632,Brent 029E,203
E01000633,Brent 019D,232
E01000634,Brent 019E,153
E01000635,Brent 020D,721
E01000636,Brent 020E,166
E01000637,Brent 022B,115
E01000638,Brent 024A,232
E01000639,Brent 022C,79
E01000640,Brent 024B,276
E01000641,Brent 024C,135
E01000642,Brent 022D,366
E01000643,Brent 024D,333
E01000644,Brent 022E,179
E01000645,Bromley 007A,47
E01000646,Bromley 016A,130
E01000647,Bromley 016B,57
E01000648,Bromley 016C,98
E01000649,Bromley 007B,76
E01000650,Bromley 022A,70
E01000651,Bromley 020A,53
E01000652,Bromley 022B,71
E01000653,Bromley 016D,71
E01000654,Bromley 039A,33
E01000655,Bromley 039B,44
E01000656,Bromley 039C,68
E01000657,Bromley 039D,122
E01000658,Bromley 042A,38
E01000659,Bromley 039E,37
E01000661,Bromley 026A,195
E01000662,Bromley 026B,87
E01000663,Bromley 026C,80
E01000664,Bromley 026D,92
E01000665,Bromley 033A,77
E01000666,Bromley 033B,120
E01000667,Bromley 033C,63
E01000668,Bromley 020B,161
E01000669,Bromley 020C,67
E01000670,Bromley 018A,90
E01000671,Bromley 020D,160
E01000672,Bromley 011A,142
E01000673,Bromley 011B,90
E01000674,Bromley 008A,108
E01000675,Bromley 018B,1468
E01000676,Bromley 008B,652
E01000677,Bromley 018C,353
E01000678,Bromley 016E,53
E01000679,Bromley 020E,69
E01000680,Bromley 037A,119
E01000681,Bromley 035A,24
E01000682,Bromley 035B,37
E01000683,Bromley 035C,47
E01000684,Bromley 035D,39
E01000685,Bromley 037B,66
E01000686,Bromley 037C,60
E01000687,Bromley 037D,99
E01000688,Bromley 037E,61
E01000689,Bromley 002A,88
E01000690,Bromley 002B,71
E01000691,Bromley 002C,100
E01000692,Bromley 002D,120
E01000693,Bromley 010A,316
E01000694,Bromley 007C,69
E01000695,Bromley 007D,60
E01000696,Bromley 007E,114
E01000697,Bromley 007F,70
E01000698,Bromley 010B,77
E01000699,Bromley 015A,86
E01000700,Bromley 013A,60
E01000701,Bromley 015B,47
E01000702,Bromley 013B,49
E01000703,Bromley 013C,120
E01000704,Bromley 015C,74
E01000705,Bromley 015D,70
E01000706,Bromley 013D,79
E01000707,Bromley 041A,39
E01000708,Bromley 041B,67
E01000709,Bromley 006A,121
E01000710,Bromley 006B,113
E01000711,Bromley 006C,136
