LSOA11CD,LSOA11NM,sumarea,agvarea,count,Green_rate, Per_capita_green_area,Theft,Violence_Against_the_Person,sum
E01000383,Bexley 028B,426063.7566,106515.9392,4,0.152340144,283.0988416,16,28,110
E01000384,Bexley 027B,5645.5073,2822.75365,2,0.018620098,3.278459524,7,21,66
E01000385,Bexley 028C,43959.1326,14653.0442,3,0.074604241,23.55794887,28,58,216
E01000386,Bexley 028D,52481.5961,17493.86537,3,0.095189313,36.02031304,67,47,218
E01000388,Bexley 016A,173501.3831,173501.3831,1,0.327010636,113.3255278,8,15,53
E01000389,Bexley 020E,111775.6008,111775.6008,1,0.251158573,67.7838695,13,18,87
E01000390,Bexley 020F,261089.1725,261089.1725,1,0.484716155,202.3947074,2,10,41
E01000391,Bexley 021E,200075.4105,200075.4105,1,0.427429168,117.071627,5,25,54
E01000393,Bexley 020G,50500.5308,25250.2654,2,0.18123671,31.94214472,56,31,114
E01000395,Bexley 018B,3621.4094,1810.7047,2,0.01141474,2.53600098,48,19,102
E01000398,Bexley 029A,2587.7353,1293.86765,2,0.011105168,1.618346029,8,21,58
E01000399,Bexley 029B,14542.5234,14542.5234,1,0.049355805,9.358123166,8,19,61
E01000400,Bexley 029C,144.1154,144.1154,1,0.000511709,0.093157983,12,28,83
E01000402,Bexley 005B,118687.1644,23737.43288,5,0.375760756,77.27028932,9,20,79
E01000403,Bexley 004A,83750.8204,16750.16408,5,0.134017412,39.7299907,252,132,677
E01000404,Bexley 004B,16068.9458,2008.618225,8,0.094923853,7.192903223,16,89,236
E01000405,Bexley 004C,31961.1107,4565.872957,7,0.080910436,22.6674544,11,44,116
E01000406,Bexley 005C,64170.8802,64170.8802,1,0.151522123,38.91502741,12,45,128
E01000408,Bexley 004D,93467.4124,11683.42655,8,0.086203264,57.13167017,29,43,169
E01000416,Bexley 002A,7071.1745,7071.1745,1,0.040059018,4.570894958,35,61,200
E01000417,Bexley 006B,457985.3346,457985.3346,1,0.62119587,279.4297343,17,27,122
E01000418,Bexley 002B,299360.1435,149680.0718,2,0.578561223,154.5483446,4,23,73
E01000419,Bexley 006C,18662.999,18662.999,1,0.069690676,12.77412663,4,9,53
E01000420,Bexley 006D,20252.7839,20252.7839,1,0.07408024,13.05788775,6,8,38
E01000422,Bexley 002C,13937.9731,13937.9731,1,0.132307793,8.061291556,8,27,87
E01000426,Bexley 026B,896.8498,448.4249,2,0.003461135,0.535432716,6,19,65
E01000427,Bexley 026C,86404.4537,28801.48457,3,0.212158933,44.72280212,6,20,69
E01000428,Bexley 027D,166506.9096,41626.7274,4,0.188313659,95.03819041,24,59,198
E01000429,Bexley 008B,2622.6307,2622.6307,1,0.008415012,1.600140757,8,42,138
E01000430,Bexley 008C,796956.9283,159391.3857,5,0.528672237,447.2261102,13,46,130
E01000431,Bexley 008D,4.124,4.124,1,2.80E-05,0.002466507,8,60,141
E01000432,Bexley 008E,22613.9803,22613.9803,1,0.049453882,13.51702349,32,62,183
E01000433,Bexley 008F,39226.7942,9806.69855,4,0.125528772,21.67226199,26,53,170
E01000434,Bexley 008G,171746.3856,28624.3976,6,0.110431609,108.4257485,9,44,96
E01000435,Bexley 010E,98.8119,98.8119,1,0.000570817,0.070278734,50,29,114
E01000437,Bexley 007A,93114.0931,31038.03103,3,0.349295938,70.43426104,3,30,74
E01000438,Bexley 007B,17382.2789,8691.13945,2,0.09334173,10.87071851,6,35,85
E01000439,Bexley 007C,7758.1634,7758.1634,1,0.031210823,5.671172076,32,29,139
E01000442,Bexley 006E,48222.4163,24111.20815,2,0.156168491,29.89610434,1,8,38
E01000443,Bexley 024B,62272.3273,20757.44243,3,0.228447714,48.80276434,6,16,52
E01000446,Bexley 024D,35602.2182,11867.40607,3,0.129150713,22.6477215,2,13,44
E01000447,Bexley 023C,158620.3335,79310.16675,2,0.160343545,103.3357222,23,48,181
E01000450,Bexley 009E,756.4481,378.22405,2,0.00330339,0.412908352,9,35,94
E01000451,Bexley 009F,9909.4954,4954.7477,2,0.047673057,5.832545851,4,32,64
E01000454,Bexley 013C,7985.0269,7985.0269,1,0.039231853,5.079533651,7,36,89
E01000457,Bexley 026D,21267.0112,10633.5056,2,0.070972613,11.92765631,97,65,275
E01000459,Bexley 027F,113.8406,113.8406,1,0.000359726,0.067481091,10,24,79
E01000462,Bexley 026E,52214.4322,10442.88644,5,0.112815667,31.77993439,54,58,179
E01000463,Bexley 025E,36464.6666,18232.3333,2,0.154994623,29.0786815,2,3,23
E01000466,Bexley 001A,200041.3409,25005.16761,8,0.084634835,120.8709008,14,37,128
E01000467,Bexley 001B,23297.1302,2117.920927,11,0.133303345,14.25772962,7,30,91
E01000468,Bexley 001C,33529.2174,6705.84348,5,0.115380081,12.31333728,15,54,123
E01000469,Bexley 001D,168370.7547,168370.7547,1,0.443106335,101.7961032,7,43,81
E01000470,Bexley 002F,154238.6302,77119.3151,2,0.432547182,106.8874776,11,43,137
E01000471,Brent 026A,3564.9136,3564.9136,1,0.025572817,2.176381929,2,22,57
E01000472,Brent 029A,96228.9129,48114.45645,2,0.22399536,71.49250587,96,61,235
E01000473,Brent 029B,4960.731,2480.3655,2,0.028569493,2.63448274,44,78,213
E01000475,Brent 029C,46573.1093,15524.36977,3,0.148887706,23.5693873,47,57,181
E01000476,Brent 026C,11304.7214,11304.7214,1,0.049626415,6.986848826,6,26,70
E01000477,Brent 026D,37241.3769,12413.7923,3,0.098205431,19.43704431,16,40,131
E01000478,Brent 029D,11530.4052,11530.4052,1,0.059992159,7.026450457,4,35,90
E01000481,Brent 009B,51932.8881,12983.22203,4,0.20136649,33.76650722,9,17,68
E01000482,Brent 009C,16369.6781,8184.83905,2,0.04761982,5.672099134,145,112,458
E01000483,Brent 009D,55792.5616,11158.51232,5,0.249380912,31.97281467,92,43,205
E01000484,Brent 006B,35675.9383,11891.97943,3,0.117067364,29.05206702,10,34,95
E01000485,Brent 006C,787.5426,262.5142,3,0.004475496,0.572758255,4,16,53
E01000486,Brent 006D,457608.7787,228804.3894,2,0.612811233,268.8653224,5,17,57
E01000487,Brent 006E,467.5952,467.5952,1,0.001522905,0.247404868,17,43,151
E01000498,Brent 010B,129899.3579,43299.78597,3,0.452298285,77.32104637,21,75,194
E01000499,Brent 011B,73154.4774,36577.2387,2,0.13968162,42.23699619,43,43,195
E01000502,Brent 011D,156558.9367,156558.9367,1,0.420567478,112.3897607,11,55,160
E01000503,Brent 011E,160111.8382,160111.8382,1,0.39671251,81.35764136,13,44,165
E01000505,Brent 018B,1277.6741,1277.6741,1,0.008161144,0.769683193,5,33,84
E01000506,Brent 014A,2982.8797,1491.43985,2,0.010030671,1.785086595,94,61,253
E01000507,Brent 018C,75302.2553,75302.2553,1,0.316207638,46.08461157,6,25,88
E01000508,Brent 025A,32347.3984,6469.47968,5,0.140477681,16.49535869,34,82,241
E01000510,Brent 014C,162.4941,81.24705,2,0.000907215,0.097127376,89,114,406
E01000511,Brent 014D,3905.215,1952.6075,2,0.023638997,2.397308165,8,38,135
E01000513,Brent 002A,2363.4523,2363.4523,1,0.014039702,1.396014353,11,12,61
E01000514,Brent 002B,333.6243,333.6243,1,0.002111914,0.220650992,2,16,59
E01000515,Brent 003A,123430.719,41143.573,3,0.324827628,72.52098649,17,67,179
E01000517,Brent 003B,8807.8624,8807.8624,1,0.038537678,5.474122063,24,37,110
E01000518,Brent 005A,240728.3315,34389.76164,7,0.47560575,144.8425581,11,33,85
E01000519,Brent 005B,482927.4669,241463.7335,2,0.659394278,251.1323281,9,26,93
E01000520,Brent 002D,5930.6509,5930.6509,1,0.024455991,3.622877764,9,30,96
E01000522,Brent 025C,17606.0159,17606.0159,1,0.121174204,9.155494488,9,46,126
E01000523,Brent 031A,2385.2492,2385.2492,1,0.017351918,0.913888582,35,126,355
E01000525,Brent 031C,2185.7472,2185.7472,1,0.013679266,1.100577644,29,57,190
E01000526,Brent 025D,1604.5324,802.2662,2,0.011494759,0.704051075,21,83,227
E01000532,Brent 033C,5740.8344,2870.4172,2,0.055480028,3.521984294,28,55,159
E01000533,Brent 031E,1212.0289,1212.0289,1,0.006559403,0.536533378,52,156,395
E01000535,Brent 031F,783.1231,783.1231,1,0.004115935,0.360886221,14,65,188
E01000541,Brent 004E,49605.331,16535.11033,3,0.205774408,35.28117425,10,30,100
E01000544,Brent 034A,5117.2162,5117.2162,1,0.070439977,2.879693979,8,46,98
E01000550,Brent 034B,3154.5175,1577.25875,2,0.021999401,1.60453586,31,51,183
E01000551,Brent 034C,7109.5676,1421.91352,5,0.052195347,3.209737065,20,48,169
E01000552,Brent 034D,6028.1068,3014.0534,2,0.068647641,3.31761519,13,54,113
E01000554,Brent 015B,26717.5101,13358.75505,2,0.124744042,14.38745832,3,32,102
E01000557,Brent 015E,551.0213,551.0213,1,0.004729657,0.296088823,12,31,113
E01000564,Brent 013A,300.0305,300.0305,1,0.001446638,0.191102229,17,42,116
E01000565,Brent 013B,8951.2408,8951.2408,1,0.047715664,6.076877665,7,28,73
E01000567,Brent 016A,11614.5274,11614.5274,1,0.057212664,8.416324203,10,23,71
E01000571,Brent 012B,97271.6657,97271.6657,1,0.276204307,56.98398694,11,38,131
E01000573,Brent 007B,23405.5787,23405.5787,1,0.099955438,14.66514956,4,20,66
E01000574,Brent 007C,50915.9745,50915.9745,1,0.23218602,37.57636494,3,15,37
E01000575,Brent 007D,13893.0517,13893.0517,1,0.050752352,7.489515741,54,44,189
E01000577,Brent 007E,23108.2701,23108.2701,1,0.067228749,9.548871942,30,56,212
E01000578,Brent 012D,8082.5838,8082.5838,1,0.024261082,4.438541351,20,68,187
E01000587,Brent 001A,7631.3429,7631.3429,1,0.038751478,4.467999356,12,29,81
E01000588,Brent 002E,14053.6286,14053.6286,1,0.040431335,6.396735822,90,80,332
E01000589,Brent 001B,34767.1435,34767.1435,1,0.118993029,17.99541589,117,51,264
E01000590,Brent 001C,10463.4274,3487.809133,3,0.039014011,5.84875763,6,15,76
E01000591,Brent 003F,67909.8636,33954.9318,2,0.212307826,32.72764511,73,63,237
E01000594,Brent 001F,13928.6958,4642.8986,3,0.058140022,8.20300106,49,44,181
E01000595,Brent 027A,12243.2479,4081.082633,3,0.064460448,7.266022493,10,50,114
E01000596,Brent 021A,3927.0974,1963.5487,2,0.019930172,2.318239315,13,48,154
E01000599,Brent 027D,6781.4355,6781.4355,1,0.075771201,5.184583716,19,31,108
E01000600,Brent 027E,84426.2283,14071.03805,6,0.041666888,41.2438829,121,276,770
E01000601,Brent 021B,59478.3856,11895.67712,5,0.085005471,39.52052199,179,95,518
