lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,ethnic_bame,tenure_owned_with_a_mortgage_or_loan,no_qualifications,good_health,bad_health
E01001857,Hammersmith and Fulham 007D,909,1508,1405,5208,2305,4702,907,1807,7709,803
E01001859,Hammersmith and Fulham 008A,707,2102,1401,5804,20,4106,2006,1109,8805,402
E01001865,Hammersmith and Fulham 008B,702,20,10,7109,7,2801,2703,1002,8703,403
E01001927,Hammersmith and Fulham 008C,502,2604,509,8309,201,1601,2904,508,9002,206
E01001930,Hammersmith and Fulham 008D,6,1902,903,7101,1005,2809,1709,1405,7601,807
E01001895,Hammersmith and Fulham 009A,508,2107,903,6905,11,3005,2107,12,8701,308
E01001896,Hammersmith and Fulham 009B,407,1906,1006,63,1403,37,1708,1206,8704,405
E01001897,Hammersmith and Fulham 009C,407,2205,807,78,8,22,2106,808,8705,308
E01001929,Hammersmith and Fulham 009D,301,2201,509,8508,304,1402,27,706,89,209
E01001851,Hammersmith and Fulham 010A,3,26,602,8306,509,1604,2407,608,9008,205
E01001855,Hammersmith and Fulham 010B,408,2505,604,79,508,21,2309,803,8909,305
E01001856,Hammersmith and Fulham 010C,707,1704,1401,6404,1502,3506,1008,1202,8404,501
E01001869,Hammersmith and Fulham 010D,209,2603,409,8206,307,1704,1609,703,8901,301
E01001873,Hammersmith and Fulham 010E,701,1801,1202,6903,909,3007,1409,1208,8308,502
E01001928,Hammersmith and Fulham 011A,7,1903,1108,7102,1105,2808,1908,12,8403,604
E01001931,Hammersmith and Fulham 011B,704,20,1103,5909,1302,4001,1808,902,8706,404
E01001932,Hammersmith and Fulham 011C,701,2207,801,7103,805,2807,1306,905,8705,4
E01001933,Hammersmith and Fulham 011D,701,2407,9,7207,808,2703,1809,804,85,308
E01001866,Hammersmith and Fulham 012A,604,2102,704,6504,504,3406,1909,507,88,309
E01001867,Hammersmith and Fulham 012B,602,1806,509,5602,502,4308,2003,809,8202,505
E01001868,Hammersmith and Fulham 012C,902,1501,2101,5406,1901,4504,701,2009,7905,705
E01001870,Hammersmith and Fulham 012D,502,1806,702,6109,608,3801,1902,605,8906,308
E01001871,Hammersmith and Fulham 012E,6,2004,604,6005,406,3905,1601,806,8703,307
E01001872,Hammersmith and Fulham 012F,801,2209,505,6608,508,3302,20,702,8808,306
