Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,lntheft
E01000111,Barking and Dagenham 002D,13.2569558,62.7932351,18.6,21.7,30.7,11.9,81.9,12.9,5.1,36.9,45.5,14.2,28.5,15.5,13.9,2.4,10.1,20.1,9.5,3.15524615
E01000112,Barking and Dagenham 002E,11.010155,67.3971138,18.4,23.7,28.8,12.6,82.7,12.3,4.9,35.6,44.7,14.9,22.1,14.6,14.9,2,12.3,24.7,9.5,2.46456941
E01000113,Barking and Dagenham 002F,10.3037522,65.6343061,21.8,22.1,26.7,14.7,83.7,11.7,4.6,35.9,44.5,15.6,18,16.4,14.9,2.4,11,26.1,11.1,3.09271953
E01000114,Barking and Dagenham 004E,11.4354067,62.6794258,21.4,26.8,23.1,11.1,82.7,12.2,5.2,29,44.3,20.4,27.2,14.1,17.3,3,11.1,19,8.3,3.11298354
E01000115,Barnet 009A,17.9245283,63.0727763,30.9,37.9,14.4,9.1,85.3,11.3,3.4,8.9,31.5,47,16.3,9.6,15.3,1.4,13.7,37.2,6.5,1.21469677
E01000116,Barnet 009B,14.43539,63.2712456,30.7,31,20.9,9.3,84.5,11.6,3.9,15.2,45.3,31.9,16.8,11.1,16,3,12.7,33,7.4,2.29205252
E01000117,Barnet 010A,19.1313909,63.4414513,21,32.5,28.2,8.1,81.4,13.5,5.1,19.6,49.7,22,19.2,9.7,16.2,3.3,10.9,33.3,7.5,1.19347257
E01000118,Barnet 010B,12.9132231,65.1859504,26.7,27.5,23.3,10.2,85.4,11,3.7,16.1,48,28.6,16.5,12.6,15.2,2.6,11.4,33.7,7.9,0.72567037
E01000119,Barnet 009C,16.547619,64.047619,25.4,34.1,20.3,10.2,82.7,12.3,5.1,13.5,45.5,32,18.2,9.4,11.2,1,11.2,39.9,9.2,1.09064412
E01000120,Barnet 009D,17.0212766,62.1675532,28.1,35.6,17.2,12.9,84.7,10.8,4.5,10.3,44.2,33.1,16.7,11,13.1,1.8,12.2,38.4,6.9,1.78909635
E01000121,Barnet 010C,13.493654,61.0554442,23.4,15.4,24.6,8.4,75.4,16.1,8.6,29.5,45.1,21,26.3,15.6,16.7,1.7,10.4,21.9,7.4,0.69514918
E01000122,Barnet 009E,13.4602311,66.2814412,27.2,28.9,23.6,11.1,85.2,11.1,3.6,16.1,42.5,29.1,13.1,10.7,13.9,2.1,11.2,40,9,0.30720474
E01000123,Barnet 010D,9.61538462,71.4543269,19.6,26.3,31.4,10.4,85.9,9.9,4.3,21.5,52.6,20.6,15.4,13.6,14.2,2.4,12.2,33.9,8.4,2.05572502
E01000124,Barnet 010E,9.6853794,69.216533,17.3,20.8,32.7,13.8,82.6,12.5,4.9,37.7,47.6,12.9,16.5,12,12.5,1.7,11.4,32.1,13.8,4.64092074
E01000125,Barnet 024A,9.93163008,65.8510255,18.5,16.6,30.5,15.5,80.7,12.6,6.7,42.7,45.6,9.9,24.6,12.8,11.2,1.8,9.3,25.8,14.6,2.31011336
E01000126,Barnet 026A,5.55041628,65.8649399,22.3,16.8,23.8,15.3,84.3,10.5,5.2,36,45.7,14.6,18.6,12.6,14.2,0.6,11.1,28.4,14.3,2.27348872
E01000127,Barnet 024B,8.43853821,67.5083056,21.2,19.8,19.8,17.5,82.5,11.5,6,42,39.1,16.3,24.1,13.7,14.1,2,7.9,24.8,13.4,2.2992573
E01000128,Barnet 024C,9.79133226,63.8844302,23.4,21,19.2,14.4,82.8,12.3,4.9,34.5,43.6,18.1,24.8,14.9,12.6,2,8.6,22.9,14.2,1.57182105
E01000129,Barnet 024D,12.7946128,64.7025814,17.6,12.7,28.5,19.2,79.2,11.6,9.2,54.6,36.1,7.9,28.7,12.1,12.1,1.2,8.8,19.3,17.8,3.53313754
E01000130,Barnet 021A,6.48783531,69.3699314,18.2,21.2,21.8,16.1,82.9,11.5,5.6,33.7,45.6,18.4,21.2,13.7,16.4,1.3,9.6,25.9,11.8,1.47403328
E01000131,Barnet 024E,11.9047619,67.3864895,20,22.6,24.3,20.7,82.8,11.7,5.5,33.3,44.3,17,20,11.5,10.2,1.3,9.9,29.6,17.5,1.80678082
E01000132,Barnet 021B,7.71312585,64.8173207,23.6,13.9,19,16,84.5,11,4.5,36.2,45.7,15.2,23.7,14.6,16.9,1.6,9.3,20.2,13.6,1.55522033
E01000133,Barnet 021C,10.5559026,65.3341661,18.4,20,23.5,16.3,77.9,14.1,8.1,39.8,39.6,16.8,27.6,13.5,13,2.2,8.9,20.9,13.9,1.32113104
E01000134,Barnet 024F,9.19117647,67.5857843,18.6,21.1,29.4,12.3,84.1,11,4.9,40.5,43.8,12.6,22.5,11.7,12.1,1.5,9.9,27.1,15.2,1.30195321
E01000135,Barnet 038A,18.797954,63.8746803,22.9,28.3,23.7,17.7,82.9,11.8,5.3,24.4,43.8,25,13.5,6.7,8.7,0.5,10.8,49.8,10,1.74997794
E01000136,Barnet 038B,20.9530026,59.9869452,23.3,30.7,25.2,14.4,84.9,11.2,3.9,23.4,38,27.2,12.1,6,6.5,0.5,8.9,56.4,9.8,2.13837529
E01000137,Barnet 041A,15.1532678,61.0757663,18.2,15.1,32.3,14.9,78,13.4,8.6,48.9,42.2,7.5,21.5,8.6,10.2,1.4,10.3,33.1,14.9,2.09151412
E01000138,Barnet 040A,12.5603865,66.873706,21.8,20.3,28.5,18.4,85.1,10.2,4.7,31.7,42.4,20.8,16,11.3,10.9,0.7,8.8,34.1,18.2,2.33717654
E01000139,Barnet 041B,13.2260322,69.4191742,17.9,26.6,27,21.8,86.6,9.7,3.6,32.3,38.2,21.2,10.8,7.3,10.2,0.6,10.4,46.8,13.9,2.12793175
E01000140,Barnet 041C,11.8332311,73.9423666,13.9,17.3,34.7,24.2,86,9,5,51.2,34.4,11.3,12,7.2,8.1,0.6,9.7,47.5,14.9,2.76890321
E01000141,Barnet 039A,5.5608365,75.6653992,13.9,15.7,33.6,22.2,85.4,10.2,4.4,56.6,35.2,7.1,14.6,10,9.7,1.3,10.7,36.9,16.8,4.33756407
